#File	SRR479052.chr21_1.fastq	SRR479052.chr21_2.fastq
#Total	30680
#Matched	4906	15.99087%
#Name	Reads	ReadsPct
TruSeq_Adapter_Index_1_6	2817	9.18188%
Nextera_LMP_Read2_External_Adapter	1225	3.99283%
Reverse_adapter	523	1.70469%
Overrepresented_sequences	133	0.43351%
Overrepresented_sequences	92	0.29987%
PCR_Primers	58	0.18905%
pcr_dimer	30	0.09778%
TruSeq_Universal_Adapter	6	0.01956%
PhiX_read2_adapter	4	0.01304%
PhiX_read1_adapter	2	0.00652%
TruSeq_Adapter_Index_2	2	0.00652%
TruSeq_Adapter_Index_9	2	0.00652%
Bisulfite_R2	1	0.00326%
I5_Adapter_Nextera	1	0.00326%
I5_Nextera_Transposase_1	1	0.00326%
I5_Nextera_Transposase_2	1	0.00326%
I5_Primer_Nextera_XT_Index_Kit_v2_S516	1	0.00326%
I7_Nextera_Transposase_1	1	0.00326%
I7_Nextera_Transposase_2	1	0.00326%
RNA_Adapter_(RA5)_part_#_15013205	1	0.00326%
RNA_PCR_Primer_Index_12_(RPI12)	1	0.00326%
TruSeq_Adapter_Index_10	1	0.00326%
TruSeq_Adapter_Index_12	1	0.00326%
TruSeq_Adapter_Index_4	1	0.00326%
